time,model,n_feat,type,lr,n_leaf,n_depth,min_data,feat_frac,bagging_frac,bagging_freq,l1,l2,min_gain,hessian,train_size,best_iter,loss_train,loss_val,acc_train,acc_val,f1_train,f1_val
2018-7-16 17:10,LightGBM_baseline_demo,300,gbdt,0.1,65,6,64,0.6,0.9,1,0.00E+00,2.00E+00,0.00E+00,1.00E-01,8.00E-01,99,0.11406,1.27694,1,0.62,1,0.61334
2018-7-16 6:00,lgb-300d-sum,300,gbdt,0.1,257,8,512,0.6,0.9,1,0.00E+00,2.00E+00,0.00E+00,1.00E-01,8.00E-01,312,0.15203,0.95512,0.99,0.72,0.99245,0.71785
2018-7-16 6:08,lgb-300d-sum,300,gbdt,0.05,257,8,512,0.6,0.9,1,0.00E+00,2.00E+00,0.00E+00,1.00E-01,8.00E-01,593,0.16684,0.94195,0.99,0.72,0.99067,0.71995
2018-7-16 6:13,lgb-300d-sum,300,gbdt,0.1,129,7,512,0.6,0.9,1,0.00E+00,2.00E+00,0.00E+00,1.00E-01,8.00E-01,350,0.1649,0.95394,0.99,0.72,0.98995,0.71818
2018-7-16 6:20,lgb-300d-sum,300,gbdt,0.05,129,7,512,0.6,0.9,1,0.00E+00,2.00E+00,0.00E+00,1.00E-01,8.00E-01,658,0.18548,0.94156,0.99,0.72,0.98643,0.71789
2018-7-16 6:24,lgb-300d-sum,300,gbdt,0.1,65,6,512,0.6,0.9,1,0.00E+00,2.00E+00,0.00E+00,1.00E-01,8.00E-01,400,0.20581,0.95109,0.98,0.72,0.9803,0.71894
2018-7-16 6:32,lgb-300d-sum,300,gbdt,0.05,65,6,512,0.6,0.9,1,0.00E+00,2.00E+00,0.00E+00,1.00E-01,8.00E-01,822,0.19734,0.94186,0.98,0.72,0.98298,0.72042
2018-7-16 6:36,lgb-300d-sum,300,gbdt,0.1,33,5,512,0.6,0.9,1,0.00E+00,2.00E+00,0.00E+00,1.00E-01,8.00E-01,556,0.23031,0.95137,0.97,0.72,0.97278,0.71869
2018-7-16 6:44,lgb-300d-sum,300,gbdt,0.05,33,5,512,0.6,0.9,1,0.00E+00,2.00E+00,0.00E+00,1.00E-01,8.00E-01,1159,0.2141,0.94108,0.98,0.72,0.97787,0.72288
2018-7-16 6:50,lgb-300d-sum,300,gbdt,0.1,33,4,512,0.6,0.9,1,0.00E+00,2.00E+00,0.00E+00,1.00E-01,8.00E-01,909,0.25548,0.95503,0.96,0.72,0.96351,0.71861
2018-7-16 7:00,lgb-300d-sum,300,gbdt,0.05,33,4,512,0.6,0.9,1,0.00E+00,2.00E+00,0.00E+00,1.00E-01,8.00E-01,1777,0.26193,0.94549,0.96,0.72,0.96157,0.72049
2018-7-16 7:20,lgb-300d-sum,300,gbdt,0.05,33,5,512,0.6,0.9,1,0.00E+00,2.00E+01,0.00E+00,1.00E-01,8.00E-01,1392,0.21329,0.9337,0.98,0.72,0.97881,0.72265
2018-7-16 7:34,lgb-300d-sum,300,gbdt,0.05,33,5,512,0.6,0.9,1,0.00E+00,5.00E+01,0.00E+00,1.00E-01,8.00E-01,1747,0.20099,0.93261,0.98,0.72,0.98272,0.72261
2018-7-16 7:51,lgb-300d-sum,300,gbdt,0.05,33,5,512,0.6,0.9,1,0.00E+00,1.00E+02,0.00E+00,1.00E-01,8.00E-01,2130,0.20338,0.93121,0.98,0.72,0.98251,0.72372
2018-7-16 8:13,lgb-300d-sum,300,gbdt,0.05,33,5,512,0.6,0.9,1,0.00E+00,2.00E+02,0.00E+00,1.00E-01,8.00E-01,2507,0.23844,0.93094,0.97,0.72,0.97306,0.72281
2018-7-16 8:47,lgb-300d-sum,300,gbdt,0.05,33,5,512,0.6,0.9,1,0.00E+00,5.00E+02,0.00E+00,1.00E-01,8.00E-01,4201,0.23789,0.93302,0.97,0.72,0.97299,0.72316
2018-7-16 9:25,lgb-300d-sum,300,gbdt,0.05,33,5,512,0.6,0.9,1,0.00E+00,1.00E+03,0.00E+00,1.00E-01,8.00E-01,4999,0.3332,0.93854,0.94,0.72,0.93975,0.7185
2018-7-16 10:02,lgb-300d-sum,300,gbdt,0.05,33,5,512,0.6,0.9,1,0.00E+00,2.00E+03,0.00E+00,1.00E-01,8.00E-01,4999,0.51009,0.96028,0.87,0.71,0.87211,0.71288
