time,model,n_feat,type,lr,n_leaf,n_depth,min_data,feat_frac,bagging_frac,bagging_freq,l1,l2,min_gain,hessian,train_size,best_iter,loss_train,loss_val,acc_train,acc_val,f1_train,f1_val
2018-7-22 9:41,lgb-tfidf-embedding-1,200600,gbdt,0.05,33,10,300,0.7,0.8,1,0.00E+00,1.00E+02,0.00E+00,1.00E-01,8.00E-01,926,0.18927,0.74785,0.98,0.78,0.97727,0.77664
2018-7-22 11:46,lgb-tfidf-embedding-2,200600,gbdt,0.05,53,10,300,0.7,0.8,1,0.00E+00,1.00E+02,0.00E+00,1.00E-01,8.00E-01,916,0.13686,0.74756,0.99,0.78,0.99139,0.77685
2018-7-22 13:58,lgb-tfidf-embedding-3,200600,gbdt,0.05,73,10,300,0.7,0.8,1,0.00E+00,1.00E+02,0.00E+00,1.00E-01,8.00E-01,889,0.12725,0.74766,0.99,0.78,0.9931,0.77736
2018-7-22 16:20,lgb-tfidf-embedding-4,200600,gbdt,0.05,93,10,300,0.7,0.8,1,0.00E+00,1.00E+02,0.00E+00,1.00E-01,8.00E-01,864,0.13008,0.74696,0.99,0.78,0.99256,0.77696
2018-7-22 22:14,lgb-tfidf-embedding-1,200600,gbdt,0.1,73,10,300,0.7,0.8,1,0.00E+00,1.00E+02,0.00E+00,1.00E-01,8.00E-01,441,0.12928,0.75509,0.99,0.78,0.9928,0.77571
2018-7-23 9:01,lgb-tfidf-embedding-2,200600,gbdt,0.01,73,10,300,0.7,0.8,1,0.00E+00,1.00E+02,0.00E+00,1.00E-01,8.00E-01,4395,0.12905,0.74376,0.99,0.78,0.99285,0.77812
2018-7-23 12:06,lgb-tfidf-embedding-1,100600,gbdt,0.05,73,10,300,0.7,0.8,1,0.00E+00,1.00E+02,0.00E+00,1.00E-01,8.00E-01,875,0.1303,0.74768,0.99,0.78,0.99255,0.77763
2018-7-23 16:54,lgb-tfidf-embedding-1,100600,gbdt,0.05,73,10,300,0.7,0.8,1,0.00E+00,5.00E+02,0.00E+00,1.00E-01,8.00E-01,2099,0.14755,0.74783,0.99,0.78,0.98923,0.77753
2018-7-23 23:17,lgb-tfidf-embedding-1,20600,gbdt,0.05,73,10,300,0.7,0.8,1,0.00E+00,1.00E+02,0.00E+00,1.00E-01,8.00E-01,890,0.12686,0.74845,0.99,0.78,0.9932,0.77667
2018-7-24 1:50,lgb-tfidf-embedding-1,500600,gbdt,0.05,73,10,300,0.7,0.8,1,0.00E+00,1.00E+02,0.00E+00,1.00E-01,8.00E-01,886,0.12784,0.74838,0.99,0.78,0.99288,0.77792
2018-7-24 4:48,lgb-tfidf-embedding-1,200600,gbdt,0.05,73,10,300,0.7,0.5,1,0.00E+00,1.00E+02,0.00E+00,1.00E-01,8.00E-01,1237,0.14012,0.75101,0.99,0.78,0.98937,0.77676
2018-7-24 7:17,lgb-tfidf-embedding-1,200600,gbdt,0.05,73,10,300,0.8,0.9,1,0.00E+00,1.00E+02,0.00E+00,1.00E-01,8.00E-01,824,0.12286,0.74891,0.99,0.78,0.99414,0.77785
2018-7-24 10:03,lgb-tfidf-embedding-1,200600,gbdt,0.05,73,10,300,1,0.8,1,0.00E+00,1.00E+02,0.00E+00,1.00E-01,8.00E-01,859,0.12464,0.74959,0.99,0.78,0.99336,0.77642
